"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"6239","AF0A7BDF4B889C6853CD6CBF398080D4","3","3","2024.09.22-20.49.30","Receive","ConcertSession_CustomResponse","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","/Script/ConcertSyncCore.ConcertReplication_Join_Response","45","(JoinErrorCode=Success,DetailedErrorMessage="""")"
"6239","B47315E246F9FFE73DABF6B3AF899856","","0","2024.09.22-20.49.30","Receive","ConcertAckData","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","None","0",""
"6239","6EEE2BC44E8C5EF30BBBD08472D2256A","4","3","2024.09.22-20.49.30","Receive","ConcertSession_CustomEvent","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","/Script/ConcertSyncCore.ConcertWorkspaceSyncEndpointEvent","256","(Endpoint=(EndpointId=2949814042630F88CF10DF9436E89CFA,EndpointData=(ClientInfo=(InstanceInfo=(InstanceId=40660C7F4D5E3ABA3DDCEF87E56F4757,InstanceName=""DESKTOP-E6787G1-3392"",InstanceType=""Editor""),DeviceName=""DESKTOP-E6787G1"",PlatformName=""WindowsEditor"",UserName=""danel"",DisplayName=""suchy"",AvatarColor=(R=0.000000,G=1.000000,B=0.531562,A=1.000000),DesktopAvatarActorClass=""/ConcertSyncClient/DesktopPresence.DesktopPresence_C"",VRAvatarActorClass=""/ConcertSyncClient/VRPresence.VRPresence_C"",Tags=,bHasEditorData=True,bRequiresCookedData=False))),NumRemainingSyncEvents=9)"
"6239","2C2B58314DB9954F4772C48E09A89457","5","3","2024.09.22-20.49.30","Receive","ConcertSession_CustomEvent","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","/Script/ConcertSyncCore.ConcertWorkspaceSyncEndpointEvent","256","(Endpoint=(EndpointId=B9EEF17B4601C30E003FD0AA5649EFD9,EndpointData=(ClientInfo=(InstanceInfo=(InstanceId=6229AFB1419332699C4AC6A627803D5C,InstanceName=""DESKTOP-E6787G1-4000"",InstanceType=""Editor""),DeviceName=""DESKTOP-E6787G1"",PlatformName=""WindowsEditor"",UserName=""danel"",DisplayName=""suchy"",AvatarColor=(R=0.000000,G=1.000000,B=0.531562,A=1.000000),DesktopAvatarActorClass=""/ConcertSyncClient/DesktopPresence.DesktopPresence_C"",VRAvatarActorClass=""/ConcertSyncClient/VRPresence.VRPresence_C"",Tags=,bHasEditorData=True,bRequiresCookedData=False))),NumRemainingSyncEvents=8)"
"6239","F4B53F234DC7C63D01553D8AC59F3660","6","3","2024.09.22-20.49.30","Receive","ConcertSession_CustomEvent","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","/Script/ConcertSyncCore.ConcertWorkspaceSyncEndpointEvent","249","(Endpoint=(EndpointId=24CD13FA41715196966966B9FB93A281,EndpointData=(ClientInfo=(InstanceInfo=(InstanceId=9E2256BB4FEA37EBCD9A5E8D0FF66940,InstanceName=""STACJONARNY-8752"",InstanceType=""Editor""),DeviceName=""STACJONARNY"",PlatformName=""WindowsEditor"",UserName=""damia"",DisplayName=""Slimao"",AvatarColor=(R=0.000000,G=1.000000,B=0.191608,A=1.000000),DesktopAvatarActorClass=""/ConcertSyncClient/DesktopPresence.DesktopPresence_C"",VRAvatarActorClass=""/ConcertSyncClient/VRPresence.VRPresence_C"",Tags=,bHasEditorData=True,bRequiresCookedData=False))),NumRemainingSyncEvents=7)"
"6239","30C6B2F74A60A5AAE0F587848BC8DFB3","7","3","2024.09.22-20.49.30","Receive","ConcertSession_CustomEvent","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","/Script/ConcertSyncCore.ConcertWorkspaceSyncActivityEvent","547","Payload string disabled. Payload is too large!"
"6239","02003F8241ED0461707186AD79C6708A","8","3","2024.09.22-20.49.30","Receive","ConcertSession_CustomEvent","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","/Script/ConcertSyncCore.ConcertWorkspaceSyncActivityEvent","547","Payload string disabled. Payload is too large!"
"6239","CCB83B7544E12012C32EE2AA9D3704A7","9","3","2024.09.22-20.49.30","Receive","ConcertSession_CustomEvent","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","/Script/ConcertSyncCore.ConcertWorkspaceSyncActivityEvent","669","Payload string disabled. Payload is too large!"
"6239","17FADB7D46E7C0F79166B19C1B76328F","10","3","2024.09.22-20.49.30","Receive","ConcertSession_CustomEvent","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","/Script/ConcertSyncCore.ConcertWorkspaceSyncActivityEvent","553","Payload string disabled. Payload is too large!"
"6239","7D0A987643302A75AA650AA8B051AD2A","11","3","2024.09.22-20.49.30","Receive","ConcertSession_CustomEvent","B612222E493F2DC023E2C3901C7B4F06","B9EEF17B4601C30E003FD0AA5649EFD9","/Script/ConcertSyncCore.ConcertWorkspaceSyncActivityEvent","547","Payload string disabled. Payload is too large!"
